City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cape Town,KI,81.84,light rain,3.0707,172.7902,Isles Sunset Lodge
4,Solnechnyy,LY,77.18,clear sky,26.5921,12.7805,فندق أوباري
5,Mataura,RU,81.05,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
7,Castro,CV,78.26,overcast clouds,14.8961,-24.4956,Hotel Xaguate
9,Asfi,PF,77.97,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
19,Nador,PF,74.03,overcast clouds,-23.1203,-134.9692,People ThankYou
20,Kalininsk,MA,71.85,clear sky,35.174,-2.9287,Hôtel La Giralda
21,Taolanaro,RU,72.07,overcast clouds,51.5,44.4758,Guest House on Chekhova
27,Victoria,PF,77.63,light rain,-9.8,-139.0333,Villa Enata
31,Scottsbluff,OM,82.13,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
32,Paamiut,US,75.78,light rain,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
35,Fakel,PT,72.52,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
37,Albany,AU,71.13,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
39,Yima,VU,76.51,light rain,-19.55,169.2667,Tanna Lodge
41,Hilo,LR,74.97,overcast clouds,6.3005,-10.7969,Sunset Inn
43,Bitung,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
48,Mednogorskiy,RU,74.19,broken clouds,71.9167,114.0833,
50,Meyungs,KG,81.84,scattered clouds,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
53,San Blas,AU,77.97,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
54,Coquimbo,MX,80.47,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
56,Maragogi,ID,81.79,broken clouds,-9.1061,124.8925,Kost Alfa Flat
57,Kozluk,BR,71.46,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
62,Lolua,RU,74.91,broken clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
65,Bredasdorp,RE,71.19,light rain,-21.3585,55.7679,Le four à pain
69,Tono,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
77,Avarua,VE,77.29,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
78,Bethel,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
79,East London,US,73.76,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
86,Whitehorse,LK,82.58,overcast clouds,6.1241,81.1185,Bungalow 63
88,Nikolskoye,RU,70.43,overcast clouds,71.6872,128.8694,Arktika
