City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,MG,-20.2833,44.2833,63.68,78,0,4.97,clear sky
1,Cape Town,KI,3.0707,172.7902,81.84,78,11,12.53,light rain
2,Nambucca Heads,ZA,-33.9258,18.4232,59.38,77,0,3.78,clear sky
3,Awbari,AU,-30.65,153.0,68.16,51,0,6.93,clear sky
4,Solnechnyy,LY,26.5921,12.7805,77.18,16,0,6.29,clear sky
5,Mataura,RU,50.7214,136.6319,81.05,57,100,5.84,overcast clouds
6,Sao Filipe,NZ,-46.1927,168.8643,47.48,98,100,3.78,light rain
7,Castro,CV,14.8961,-24.4956,78.26,88,92,3.98,overcast clouds
8,Fare,BR,-24.7911,-50.0119,56.53,80,90,2.75,overcast clouds
9,Asfi,PF,-16.7,-151.0167,77.97,77,12,26.02,light rain
10,Lebu,MA,32.2994,-9.2372,67.95,84,2,13.38,clear sky
11,Mayumba,CL,-37.6167,-73.65,48.58,85,21,4.79,few clouds
12,Shingu,GA,-3.432,10.6554,68.38,89,31,1.7,scattered clouds
13,Ushuaia,JP,33.7333,135.9833,85.3,69,35,6.71,scattered clouds
14,Puerto Ayora,AR,-54.8,-68.3,40.66,81,40,18.41,scattered clouds
15,Pevek,EC,-0.7393,-90.3518,68.56,99,98,5.01,overcast clouds
16,Hermanus,RU,69.7008,170.3133,36.34,86,96,5.99,overcast clouds
17,Thompson,ZA,-34.4187,19.2345,53.8,79,0,12.21,clear sky
18,Rikitea,CA,55.7435,-97.8558,52.57,92,98,3.51,overcast clouds
19,Nador,PF,-23.1203,-134.9692,74.03,67,100,17.85,overcast clouds
20,Kalininsk,MA,35.174,-2.9287,71.85,53,0,2.3,clear sky
21,Taolanaro,RU,51.5,44.4758,72.07,66,100,5.1,overcast clouds
22,Hanzhong,US,64.8569,-147.8028,61.59,56,75,13.8,broken clouds
23,Barrow,CN,33.0728,107.0303,85.17,60,0,0.81,clear sky
24,Apac,US,71.2906,-156.7887,33.82,100,100,14.97,mist
25,Sentyabrskiy,UG,1.9756,32.5386,61.63,96,89,3.13,light rain
26,Atuona,AF,34.388,67.0233,69.17,30,3,4.12,clear sky
27,Victoria,PF,-9.8,-139.0333,77.63,73,21,24.16,light rain
28,Busselton,HK,22.2855,114.1577,95.25,70,0,7.0,clear sky
29,Esperance,AU,-33.65,115.3333,64.51,68,27,12.55,scattered clouds
30,Sur,AU,-33.8667,121.9,65.82,45,2,16.2,clear sky
31,Scottsbluff,OM,22.5667,59.5289,82.13,70,91,16.04,overcast clouds
32,Paamiut,US,41.8666,-103.6672,75.78,67,40,10.36,light rain
33,Rocha,GL,61.994,-49.6678,42.39,90,59,15.59,broken clouds
34,Ribeira Grande,UY,-34.4833,-54.3333,64.42,95,100,8.19,overcast clouds
35,Fakel,PT,38.5167,-28.7,72.52,83,25,9.42,scattered clouds
36,Charters Towers,RU,57.6325,53.0252,63.21,66,8,4.97,clear sky
37,Albany,AU,-20.1,146.2667,71.13,23,0,9.06,clear sky
38,Isangel,US,42.6001,-73.9662,68.85,82,94,1.86,overcast clouds
39,Yima,VU,-19.55,169.2667,76.51,85,100,12.55,light rain
40,Monrovia,CN,34.7381,111.8839,85.05,54,1,2.48,clear sky
41,Hilo,LR,6.3005,-10.7969,74.97,84,99,10.56,overcast clouds
42,Cap Malheureux,US,19.7297,-155.09,86.29,76,0,6.91,clear sky
43,Bitung,MU,-19.9842,57.6142,71.47,74,2,5.01,clear sky
44,Hargeysa,ID,1.4451,125.1824,85.05,74,63,11.97,broken clouds
45,Hobart,SO,9.56,44.065,68.05,54,31,27.67,scattered clouds
46,Cherskiy,AU,-42.8794,147.3294,53.26,65,40,13.8,light rain
